date,card,category,type,amount
2024-09-25,1,Others,outcome,5567.00
2024-09-25,1,Food and Rest,outcome,1369.90
2024-09-25,1,Smoke,outcome,185.00
2024-09-26,1,Clothes,outcome,2964.00
2024-09-26,1,Public Transport,outcome,64.00
2024-09-26,1,Partner,outcome,3850.00
2024-09-26,1,Public Transport,outcome,1027.00
2024-09-27,1,Smoke,outcome,1899.00
2024-09-27,1,Public Transport,outcome,128.00
2024-09-27,1,Others,outcome,2762.00
2024-09-27,1,Food and Rest,outcome,1309.47
2024-09-28,1,Others,outcome,249.00
2024-09-28,1,Food and Rest,outcome,613.43
2024-09-28,1,Party,outcome,1500.00
2024-09-28,2,Public Transport,outcome,14.00
2024-09-30,1,Food and Rest,outcome,981.00
2024-09-30,2,Public Transport,outcome,75.50
2024-09-30,1,Public Transport,outcome,1309.00
2024-09-30,1,Others,outcome,1990.00
2024-09-30,1,Personal,outcome,800.00
2024-09-30,1,Others,income,10.00
2024-10-01,1,Food and Rest,outcome,445.00
2024-10-01,1,Others,outcome,2000.00
2024-10-01,1,Others,outcome,3200.00
2024-10-01,2,Public Transport,outcome,17.00
2024-10-02,1,Salary,income,8477.62
2024-10-02,1,Food and Rest,outcome,957.89
2024-10-02,3,Public Transport,outcome,65.00
2024-10-02,2,Public Transport,outcome,7.00
2024-10-02,1,Public Transport,outcome,1098.00
2024-10-03,1,Food and Rest,outcome,1136.00
2024-10-03,1,Public Transport,outcome,64.00
2024-10-03,1,Party,outcome,2800.00
2024-10-03,1,Public Transport,outcome,64.00
2024-10-04,2,Public Transport,outcome,77.00
2024-10-04,1,Public Transport,outcome,1518.00
2024-10-04,1,Partner,outcome,1900.00
2024-10-04,3,Transactions,income,1900.00
2024-10-04,1,Transactions,outcome,1900.00
2024-10-05,1,Food and Rest,outcome,1150.00
2024-10-05,1,Others,outcome,1000.00
2024-10-07,1,Transactions,income,400.00
2024-10-09,1,Salary,income,220110.00
2024-10-09,1,Others,outcome,1500.00
2024-10-11,1,Partner,outcome,5096.12
2024-10-11,1,Personal,outcome,2099.48
2024-10-11,1,Others,outcome,1850.00
2024-10-12,1,Party,outcome,1200.00
2024-10-12,1,Public Transport,outcome,64.00
2024-10-12,1,Food and Rest,outcome,1060.98
2024-10-13,1,Public Transport,outcome,832.00
2024-10-13,1,Food and Rest,outcome,1358.10
2024-10-14,1,Food and Rest,outcome,379.98
2024-10-15,1,Public Transport,outcome,2525.00
2024-10-15,1,Food and Rest,outcome,489.94
2024-10-15,1,Others,outcome,3200.00
2024-10-16,1,Public Transport,outcome,1163.00
2024-10-16,1,Food and Rest,outcome,1843.00
2024-10-16,2,Transactions,income,55500.00
2024-10-16,1,Transactions,outcome,55500.00
2024-10-16,1,Salary,income,11400.00
2024-10-16,2,Rent Fee,outcome,55050.00
2024-10-17,1,Personal,outcome,17000.00
2024-10-17,1,Food and Rest,outcome,734.94
2024-10-18,1,Food and Rest,outcome,972.94
2024-10-18,1,Partner,outcome,1410.00
2024-10-18,1,Smoke,outcome,1499.00
2024-10-18,1,Public Transport,outcome,128.00
2024-10-19,1,Food and Rest,outcome,1139.09
2024-10-19,2,Public Transport,outcome,74.87
2024-10-19,1,Public Transport,outcome,192.00
2024-10-19,1,Others,outcome,60.00
2024-10-20,1,Public Transport,outcome,1098.00
2024-10-20,1,Party,outcome,650.00
2024-10-20,1,Others,outcome,2584.00
2024-10-22,1,Food and Rest,outcome,1018.96
2024-10-22,1,Others,outcome,1139.00
2024-10-22,1,Public Transport,outcome,936.00
2024-10-22,1,Public Transport,outcome,63.00
2024-10-23,1,Public Transport,outcome,2081.00
2024-10-23,1,Food and Rest,outcome,370.00
2024-10-24,1,Others,outcome,496.00
2024-10-24,1,Others,outcome,5000.00
2024-10-24,1,Public Transport,outcome,128.00
2024-10-24,1,Food and Rest,outcome,1710.00
2024-10-24,1,Salary,income,1102.03
2024-10-25,1,Clothes,outcome,5938.00
2024-10-25,1,Food and Rest,outcome,1162.91
2024-10-25,2,Public Transport,outcome,15.80
2024-10-26,1,Public Transport,outcome,530.00
2024-10-26,1,Food and Rest,outcome,835.97
2024-10-26,1,Others,outcome,7000.00
2024-10-27,1,Food and Rest,outcome,631.97
2024-10-27,1,Others,outcome,3000.00
2024-10-28,2,Public Transport,outcome,15.80
2024-10-28,1,Public Transport,outcome,12941.00
2024-10-29,2,Public Transport,outcome,16.00
2024-10-29,1,Public Transport,outcome,920.00
2024-10-29,1,Partner,outcome,5275.00
2024-10-30,1,Food and Rest,outcome,1736.85
2024-10-31,1,Food and Rest,outcome,1158.00
2024-10-31,1,Others,outcome,1990.00
2024-10-31,1,Party,outcome,1200.00
2024-11-01,1,Food and Rest,outcome,522.05
2024-11-01,1,Public Transport,outcome,64.00
2024-11-02,1,Salary,income,9776.96
2024-11-02,1,Public Transport,outcome,1250.00
2024-11-02,1,Others,outcome,600.00
2024-11-02,1,Food and Rest,outcome,1216.00
2024-11-03,1,Partner,outcome,2880.00
2024-11-03,1,Public Transport,outcome,128.00
2024-11-03,2,Transactions,income,400.00
2024-11-04,1,Others,outcome,1700.00
2024-11-04,1,Food and Rest,outcome,826.85
2024-11-05,1,Others,outcome,5000.00
2024-11-05,1,Public Transport,outcome,128.00
2024-11-05,1,Partner,outcome,1310.00
2024-11-05,1,Transactions,outcome,0.99
2024-11-07,1,Salary,income,220110.00
2024-11-07,1,Public Transport,outcome,64.00
2024-11-07,1,Personal,outcome,863.00
2024-11-07,1,Party,outcome,3650.00
2024-11-07,2,Others,outcome,150.00
2024-11-07,1,Others,outcome,423.00
2024-11-07,1,Public Transport,outcome,1111.00
2024-11-08,1,Partner,outcome,6000.00
2024-11-08,1,Others,outcome,99000.00
2024-11-08,2,Public Transport,outcome,65.00
2024-11-08,1,Public Transport,outcome,128.00
2024-11-08,1,Food and Rest,outcome,59.99
2024-11-08,1,Food and Rest,outcome,631.00
2024-11-08,1,Others,outcome,749.00
2024-11-09,1,Others,outcome,24.00
2024-11-09,1,Public Transport,outcome,400.10
2024-11-09,1,Smoke,outcome,1600.00
2024-11-09,1,Partner,outcome,230.00
2024-11-11,1,Others,outcome,1000.00
2024-11-12,1,Others,outcome,1200.00
2024-11-12,1,Partner,outcome,892.00
2024-11-13,1,Transactions,outcome,10130.00
2024-11-16,2,Rent Fee,outcome,55050.00
2024-11-16,2,Transactions,income,55000.00
2024-11-16,1,Transactions,outcome,55000.00
2024-11-21,1,Partner,outcome,588.00
2024-11-22,1,Others,outcome,8045.11
2024-11-22,1,Public Transport,outcome,43.85
2024-11-22,1,Food and Rest,outcome,1011.00
2024-11-23,1,Food and Rest,outcome,2915.58
2024-11-24,1,Partner,outcome,2625.00
2024-11-24,1,Food and Rest,outcome,219.98
2024-11-24,1,Salary,income,1512.93
2024-11-25,1,Food and Rest,outcome,1987.16
2024-11-25,1,Others,outcome,756.00
2024-11-26,1,Partner,outcome,1000.00
2024-11-26,1,Public Transport,outcome,1062.00
2024-11-26,1,Others,outcome,540.00
2024-11-26,1,Food and Rest,outcome,635.00
2024-11-27,1,Public Transport,outcome,2362.00
2024-11-27,1,Food and Rest,outcome,1487.96
2024-11-27,1,Others,outcome,4400.00
2024-11-27,3,Others,outcome,400.00
2024-11-27,1,Others,outcome,808.00
2024-11-28,1,Others,outcome,329.00
2024-11-28,1,Public Transport,outcome,136.00
2024-11-29,1,Public Transport,outcome,550.00
2024-11-29,1,Smoke,outcome,1499.00
2024-11-29,1,Food and Rest,outcome,725.00
2024-11-29,1,Salary,income,28900.00
2024-11-30,1,Food and Rest,outcome,466.00
2024-11-30,1,Others,outcome,2839.00
2024-12-01,1,Education,outcome,9600.00
2024-12-02,1,Salary,income,9602.05
2024-12-02,1,Others,outcome,3340.00
2024-12-02,1,Others,outcome,500.00
2024-12-03,1,Others,outcome,379.00
2024-12-03,1,Food and Rest,outcome,668.55
2024-12-03,1,Salary,income,400.00
2024-12-03,1,Partner,outcome,438.00
2024-12-05,1,Others,outcome,513.44
2024-12-06,1,Partner,outcome,1035.00
2024-12-06,1,Others,outcome,970.00
2024-12-06,1,Others,outcome,4000.00
2024-12-07,1,Public Transport,outcome,21663.00
2024-12-07,1,Food and Rest,outcome,350.00
2024-12-07,1,Public Transport,outcome,1443.00
2024-12-07,1,Food and Rest,outcome,1289.00
2024-12-08,1,Food and Rest,outcome,5036.13
2024-12-08,1,Public Transport,outcome,128.00
2024-12-09,1,Partner,outcome,1880.00
2024-12-09,1,Salary,income,220110.00
2024-12-09,1,Food and Rest,outcome,425.98
2024-12-10,1,Food and Rest,outcome,838.93
2024-12-11,1,Public Transport,outcome,128.00
2024-12-12,1,Partner,outcome,21500.00
2024-12-12,1,Others,outcome,2500.00
2024-12-12,1,Public Transport,outcome,64.00
2024-12-13,1,Partner,outcome,1575.52
2024-12-13,1,Public Transport,outcome,256.00
2024-12-13,1,Public Transport,outcome,444.00
2024-12-13,1,Others,outcome,24.30
2024-12-13,2,Transactions,income,500.00
2024-12-13,1,Transactions,outcome,500.00
2024-12-14,1,Public Transport,outcome,587.00
2024-12-14,1,Partner,outcome,3055.00
2024-12-14,1,Food and Rest,outcome,168.00
2024-12-14,1,Partner,outcome,390.00
2024-12-15,1,Transactions,outcome,10000.00
2024-12-16,2,Transactions,income,55000.00
2024-12-16,1,Transactions,outcome,55000.00
2024-12-16,2,Rent Fee,outcome,55050.00
2024-12-16,1,Partner,outcome,3657.00
2024-12-18,1,Others,outcome,3200.00
2024-12-18,1,Others,outcome,2000.00
2024-12-18,1,Others,outcome,666.00
2024-12-18,1,Partner,outcome,1500.00
2024-12-19,2,Others,outcome,150.00
2024-12-19,1,Others,outcome,3617.89
2024-12-19,1,Transactions,outcome,14433.51
2024-12-20,1,Food and Rest,outcome,2110.85
2024-12-21,1,Others,outcome,150.00
2024-12-21,1,Food and Rest,outcome,2249.90
2024-12-22,1,Personal,outcome,1400.00
2024-12-22,1,Food and Rest,outcome,1303.87
2024-12-22,1,Others,outcome,9974.00
2024-12-23,1,Transactions,income,500.00
2024-12-23,1,Partner,outcome,579.98
2024-12-23,3,Transactions,income,14435.00
2024-12-24,1,Public Transport,outcome,128.00
2024-12-24,1,Personal,outcome,10772.00
2024-12-24,1,Food and Rest,outcome,59.96
2024-12-24,1,Salary,income,11400.00
2024-12-24,1,Food and Rest,outcome,615.58
2024-12-24,1,Others,outcome,686.00
2024-12-25,1,Food and Rest,outcome,680.00
2024-12-25,1,Others,outcome,5000.00
2024-12-25,1,Public Transport,outcome,128.00
2024-12-25,1,Partner,outcome,4177.00
2024-12-26,1,Public Transport,outcome,650.00
2024-12-26,1,Food and Rest,outcome,650.00
2024-12-26,3,Others,outcome,59.00
2024-12-27,1,Clothes,outcome,2000.00
2024-12-27,1,Others,outcome,7802.00
2024-12-27,1,Others,outcome,400.00
2024-12-27,1,Others,outcome,454.97
2024-12-27,3,Transactions,outcome,16500.00
2024-12-27,1,Transactions,income,16500.00
2024-12-29,1,Others,outcome,3000.00
2024-12-29,1,Food and Rest,outcome,4430.00
2024-12-29,1,Public Transport,outcome,413.00
2024-12-29,1,Food and Rest,outcome,47.99
2024-12-30,1,Public Transport,outcome,128.00
2024-12-30,1,Food and Rest,outcome,2596.32
2024-12-30,1,Salary,income,385192.00
2024-12-31,1,Food and Rest,outcome,1071.98
2024-12-31,1,Others,outcome,1990.00
2024-12-31,1,Partner,outcome,1655.90
2025-01-01,1,Food and Rest,outcome,1609.47
2025-01-02,1,Salary,income,10067.36
2025-01-02,1,Public Transport,outcome,140.00
2025-01-02,1,Others,outcome,8000.00
2025-01-02,1,Transactions,income,5000.00
2025-01-02,1,Food and Rest,outcome,409.99
2025-01-03,1,Public Transport,outcome,70.00
2025-01-03,1,Food and Rest,outcome,949.99
2025-01-03,1,Transactions,income,400.00
2025-01-04,1,Food and Rest,outcome,907.00
2025-01-05,1,Public Transport,outcome,1319.00
2025-01-05,1,Food and Rest,outcome,400.00
2025-01-06,1,Food and Rest,outcome,3423.87
2025-01-06,1,Smoke,outcome,340.00
2025-01-07,1,Transactions,income,5000.00
2025-01-07,1,Food and Rest,outcome,700.97
2025-01-07,1,Transactions,income,1524.69
2025-01-08,1,Food and Rest,outcome,244.92
2025-01-09,1,Food and Rest,outcome,719.95
2025-01-09,1,Others,outcome,2380.00
2025-01-10,1,Food and Rest,outcome,2054.75
2025-01-11,1,Smoke,outcome,170.00
2025-01-11,1,Food and Rest,outcome,530.16
2025-01-11,1,Salary,income,220110.00
2025-01-11,1,Others,outcome,198.70
2025-01-12,1,Others,outcome,2867.00
2025-01-12,1,Public Transport,outcome,1180.00
2025-01-12,1,Food and Rest,outcome,276.74
2025-01-13,1,Public Transport,outcome,2547.00
2025-01-13,1,Food and Rest,outcome,810.13
2025-01-13,1,Others,outcome,500.00
2025-01-14,1,Food and Rest,outcome,1338.00
2025-01-14,1,Education,outcome,9600.00
2025-01-15,1,Salary,income,2793.98
2025-01-15,1,Food and Rest,outcome,1449.79
2025-01-15,1,Others,outcome,1212.00
2025-01-15,1,Public Transport,outcome,140.00
2025-01-16,1,Partner,outcome,2400.00
2025-01-16,1,Food and Rest,outcome,651.99
2025-01-16,1,Rent Fee,outcome,55000.00
2025-01-17,1,Public Transport,outcome,140.00
2025-01-17,1,Food and Rest,outcome,3130.00
2025-01-17,1,Partner,outcome,1599.00
2025-01-18,1,Food and Rest,outcome,578.85
2025-01-18,1,Others,outcome,2168.00
2025-01-18,1,Party,outcome,3300.00
2025-01-19,3,Transactions,income,500.00
2025-01-19,3,Transactions,outcome,500.00
2025-01-19,1,Transactions,income,500.00
2025-01-19,1,Others,outcome,1500.00
2025-01-21,1,Partner,outcome,681.00
2025-01-22,1,Partner,outcome,3000.00
2025-01-24,1,Salary,income,921.13
2025-01-25,1,Partner,outcome,497.00
2025-01-26,1,Others,outcome,400.00
2025-01-28,1,Transactions,outcome,12400.00
2025-01-29,1,Partner,outcome,4850.00
2025-02-01,1,Partner,outcome,409.00
2025-02-02,1,Salary,income,10242.15
2025-02-03,1,Transactions,income,500.00
2025-02-05,1,Others,outcome,3000.00
2025-02-06,1,Transactions,income,21.00
2025-02-07,1,Food and Rest,outcome,738.00
2025-02-07,1,Public Transport,outcome,1400.00
2025-02-07,1,Party,outcome,3300.00
2025-02-08,1,Partner,outcome,475.00
2025-02-08,1,Food and Rest,outcome,953.95
2025-02-08,1,Party,outcome,2800.00
2025-02-08,1,Others,outcome,2800.00
2025-02-09,1,Transactions,income,13279.00
2025-02-09,1,Salary,income,220110.00
2025-02-09,1,Food and Rest,outcome,753.55
2025-02-09,1,Others,outcome,10600.00
2025-02-10,1,Salary,income,43900.00
2025-02-10,1,Food and Rest,outcome,507.13
2025-02-11,1,Partner,outcome,6495.00
2025-02-11,1,Food and Rest,outcome,998.71
2025-02-12,1,Food and Rest,outcome,1334.82
2025-02-12,1,Public Transport,outcome,2070.00
2025-02-12,1,Smoke,outcome,340.00
2025-02-13,1,Food and Rest,outcome,1468.15
2025-02-13,1,Partner,outcome,3400.00
2025-02-14,1,Food and Rest,outcome,1396.95
2025-02-14,1,Others,outcome,1293.22
2025-02-15,1,Salary,income,11833.73
2025-02-15,1,Food and Rest,outcome,478.00
2025-02-15,1,Salary,income,12500.00
2025-02-16,1,Rent Fee,outcome,55000.00
2025-02-16,1,Others,outcome,9000.00
2025-02-16,1,Others,outcome,2870.00
2025-02-16,1,Food and Rest,outcome,1740.04
2025-02-17,1,Partner,outcome,1000.00
2025-02-17,1,Smoke,outcome,340.00
2025-02-17,1,Food and Rest,outcome,239.00
2025-02-17,1,Food and Rest,outcome,962.42
2025-02-18,1,Food and Rest,outcome,2066.77
2025-02-19,1,Others,outcome,1.00
2025-02-19,1,Food and Rest,outcome,813.00
2025-02-20,1,Food and Rest,outcome,5625.39
2025-02-21,1,Food and Rest,outcome,2002.97
2025-02-22,1,Food and Rest,outcome,1161.94
2025-02-22,1,Public Transport,outcome,829.00
2025-02-22,1,Smoke,outcome,340.00
2025-02-24,1,Salary,income,4387.03
2025-02-25,1,Salary,income,242.70
2025-02-26,1,Partner,outcome,650.00
2025-02-27,1,Food and Rest,outcome,5000.00
2025-03-01,1,Others,outcome,1526.00
2025-03-02,1,Others,outcome,431.00
2025-03-02,1,Others,outcome,16500.00
2025-03-02,1,Transactions,income,500.00
2025-03-02,1,Transactions,income,9388.71
2025-03-03,1,Transactions,income,500.00
2025-03-03,1,Partner,outcome,500.00
2025-03-04,1,Others,outcome,5550.96
2025-03-04,1,Smoke,outcome,170.00
2025-03-04,1,Food and Rest,outcome,257.98
2025-03-05,1,Food and Rest,outcome,478.00
2025-03-05,1,Partner,outcome,3439.00
2025-03-05,1,Others,outcome,3000.00
2025-03-05,1,Others,outcome,790.00
2025-03-05,1,Others,outcome,2197.20
2025-03-06,1,Others,outcome,513.00
2025-03-06,1,Public Transport,outcome,140.00
2025-03-06,1,Party,outcome,2000.00
2025-03-07,1,Food and Rest,outcome,3477.00
2025-03-07,1,Partner,outcome,2810.00
2025-03-07,1,Public Transport,outcome,140.00
2025-03-07,1,Others,outcome,99.00
2025-03-07,1,Others,outcome,1000.00
2025-03-08,1,Food and Rest,outcome,3022.82
2025-03-09,1,Salary,income,241510.00
2025-03-09,1,Transactions,income,47.00
2025-03-10,1,Public Transport,outcome,140.00
2025-03-10,1,Food and Rest,outcome,139.00
2025-03-10,1,Food and Rest,outcome,2632.00
2025-03-11,1,Food and Rest,outcome,1423.18
2025-03-12,1,Partner,outcome,49500.00
2025-03-12,1,Food and Rest,outcome,46.99
2025-03-13,1,Party,outcome,2623.20
2025-03-13,1,Food and Rest,outcome,563.00
2025-03-14,1,Public Transport,outcome,1291.00
2025-03-14,1,Public Transport,outcome,1535.00
2025-03-14,1,Food and Rest,outcome,84.00
2025-03-14,1,Others,outcome,1421.00
2025-03-15,1,Partner,outcome,1400.00
2025-03-15,1,Others,outcome,3190.00
2025-03-15,1,Others,outcome,100.00
2025-03-15,2,Transactions,outcome,500.00
2025-03-15,1,Transactions,income,1150.00
2025-03-15,1,Salary,income,12000.00
2025-03-15,1,Food and Rest,outcome,441.00
2025-03-16,1,Others,outcome,1988.00
2025-03-16,1,Public Transport,outcome,159.00
2025-03-16,1,Rent Fee,outcome,55000.00
2025-03-16,1,Partner,outcome,504.00
2025-03-17,1,Others,outcome,350.00
2025-03-18,1,Others,outcome,80.00
2025-03-19,1,Others,outcome,6000.00
2025-03-19,1,Food and Rest,outcome,325.00
2025-03-20,1,Others,outcome,149.00
2025-03-20,1,Food and Rest,outcome,1576.40
2025-03-21,1,Food and Rest,outcome,900.00
2025-03-21,1,Public Transport,outcome,768.00
2025-03-21,1,Food and Rest,outcome,454.93
2025-03-22,1,Public Transport,outcome,345.00
2025-03-22,1,Food and Rest,outcome,4218.96
2025-03-23,1,Food and Rest,outcome,1021.94
2025-03-24,1,Salary,income,73370.33
2025-03-24,1,Public Transport,outcome,795.00
2025-03-24,1,Salary,income,18194.32
2025-03-24,1,Others,outcome,979.98
2025-03-25,1,Partner,outcome,2000.00
2025-03-25,1,Public Transport,outcome,140.00
2025-03-25,1,Food and Rest,outcome,639.25
2025-03-26,1,Food and Rest,outcome,994.85
2025-03-26,1,Others,outcome,1127.00
2025-03-27,1,Food and Rest,outcome,680.87
2025-03-27,1,Others,outcome,2630.00
2025-03-27,1,Others,outcome,400.00
2025-03-28,1,Party,outcome,2280.00
2025-03-28,1,Food and Rest,outcome,1045.97
2025-03-28,1,Public Transport,outcome,70.00
2025-03-28,1,Others,outcome,1413.00
2025-03-29,1,Food and Rest,outcome,1116.98
2025-03-30,1,Food and Rest,outcome,3017.72
2025-03-31,1,Food and Rest,outcome,264.96
2025-03-31,1,Others,outcome,4269.00
2025-04-01,1,Food and Rest,outcome,2673.00
2025-04-01,1,Public Transport,outcome,140.00
2025-04-02,1,Transactions,income,4968.49
2025-04-02,1,Food and Rest,outcome,1264.18
2025-04-03,1,Food and Rest,outcome,4412.85
2025-04-03,1,Public Transport,outcome,210.00
2025-04-04,1,Food and Rest,outcome,615.93
2025-04-04,1,Party,outcome,2609.00
2025-04-04,1,Partner,outcome,2150.00
2025-04-05,1,Public Transport,outcome,70.00
2025-04-05,1,Partner,outcome,3823.00
2025-04-05,1,Public Transport,outcome,18942.00
2025-04-05,1,Partner,outcome,18942.00
2025-04-05,1,Public Transport,outcome,1228.00
2025-04-06,1,Food and Rest,outcome,10000.00
2025-04-09,1,Salary,income,146740.81
2025-04-13,1,Others,outcome,875.00
2025-04-15,1,Salary,income,12000.00
2025-04-16,1,Partner,outcome,4697.00
2025-04-17,1,Rent Fee,outcome,64400.00
2025-04-17,1,Others,outcome,4200.00
2025-04-17,1,Public Transport,outcome,382.71
2025-04-18,1,Others,outcome,10000.00
2025-04-18,1,Public Transport,outcome,880.00
2025-04-18,1,Food and Rest,outcome,1647.13
2025-04-19,1,Food and Rest,outcome,1564.74
2025-04-19,1,Public Transport,outcome,298.00
2025-04-19,1,Others,outcome,1190.00
2025-04-19,1,Transactions,outcome,206.36
2025-04-20,1,Others,outcome,1792.00
2025-04-20,1,Food and Rest,outcome,1805.87
2025-04-21,1,Food and Rest,outcome,776.95
2025-04-21,1,Smoke,outcome,200.00
2025-04-22,1,Food and Rest,outcome,1407.54
2025-04-23,1,Others,outcome,993.00
2025-04-23,1,Public Transport,outcome,234.00
2025-04-23,1,Food and Rest,outcome,369.99
2025-04-23,1,Partner,outcome,1327.30
2025-04-23,1,Salary,income,30700.00
2025-04-24,1,Food and Rest,outcome,1777.12
2025-04-24,1,Salary,income,115557.50
2025-04-24,1,Smoke,outcome,200.00
2025-04-24,1,Salary,income,24078.08
2025-04-24,1,Salary,income,4047.92
2025-04-25,1,Party,outcome,1500.00
2025-04-25,1,Food and Rest,outcome,1036.50
2025-04-26,1,Food and Rest,outcome,3568.79
2025-04-28,1,Smoke,outcome,200.00
2025-04-28,1,Others,outcome,1836.00
2025-04-29,1,Food and Rest,outcome,1423.64
2025-04-30,1,Food and Rest,outcome,1554.82
2025-04-30,1,Public Transport,outcome,1027.00
2025-04-30,1,Others,outcome,990.00
2025-05-01,1,Public Transport,outcome,679.00
2025-05-01,1,Food and Rest,outcome,344.98
2025-05-01,1,Partner,outcome,2500.00
2025-05-02,1,Partner,outcome,981.64
2025-05-02,1,Others,outcome,618.00
2025-05-02,1,Food and Rest,outcome,2198.56
2025-05-02,1,Public Transport,outcome,1432.00
2025-05-03,1,Others,outcome,2500.00
2025-05-03,1,Food and Rest,outcome,1984.98
2025-05-03,1,Smoke,outcome,200.00
2025-05-03,1,Transactions,income,6000.00
2025-05-04,1,Food and Rest,outcome,4688.74
2025-05-05,1,Food and Rest,outcome,457.99
2025-05-05,1,Partner,outcome,985.00
2025-05-05,1,Public Transport,outcome,1177.00
2025-05-06,1,Salary,income,115557.50
2025-05-06,1,Others,outcome,3850.00
2025-05-06,1,Food and Rest,outcome,2343.94
2025-05-06,1,Transactions,outcome,360.32
2025-05-07,1,Smoke,outcome,200.00
2025-05-08,1,Public Transport,outcome,1672.00
2025-05-08,1,Food and Rest,outcome,1582.27
2025-05-08,1,Food and Rest,outcome,1576.17
2025-05-09,1,Public Transport,outcome,140.00
2025-05-09,1,Food and Rest,outcome,3906.44
2025-05-10,1,Smoke,outcome,200.00
2025-05-11,1,Food and Rest,outcome,300.88
2025-05-12,1,Food and Rest,outcome,1503.00
2025-05-12,1,Public Transport,outcome,140.00
2025-05-13,1,Partner,outcome,1000.00
2025-05-13,1,Smoke,outcome,200.00
2025-05-13,1,Food and Rest,outcome,339.98
2025-05-14,1,Public Transport,outcome,3728.26
2025-05-14,1,Others,outcome,3000.00
2025-05-14,1,Food and Rest,outcome,339.96
2025-05-15,1,Food and Rest,outcome,706.89
2025-05-15,1,Public Transport,outcome,70.00
2025-05-16,1,Food and Rest,outcome,2904.09
2025-05-17,1,Food and Rest,outcome,1688.54
2025-05-17,1,Public Transport,outcome,210.00
2025-05-17,1,Others,outcome,5150.00
2025-05-17,1,Salary,income,12000.00
2025-05-18,1,Food and Rest,outcome,5000.00
2025-05-18,1,Others,outcome,130.00
2025-05-18,1,Rent Fee,outcome,55000.00
2025-05-19,1,Partner,outcome,647.00
2025-05-21,1,Salary,income,256.80
2025-05-22,1,Partner,outcome,2559.64
2025-05-22,1,Food and Rest,outcome,1300.00
2025-05-22,1,Salary,income,89878.72
2025-05-23,1,Public Transport,outcome,2640.00
2025-05-23,1,Food and Rest,outcome,1865.00
2025-05-23,1,Others,outcome,6760.00
2025-05-23,1,Food and Rest,outcome,379.87
2025-05-24,1,Salary,income,29632.85
2025-05-24,1,Public Transport,outcome,1707.00
2025-05-24,1,Smoke,outcome,200.00
2025-05-24,1,Public Transport,outcome,140.00
2025-05-24,1,Partner,outcome,5500.00
2025-05-24,1,Food and Rest,outcome,63.22
2025-05-25,1,Salary,income,2000.00
2025-05-25,1,Food and Rest,outcome,1931.14
2025-05-26,1,Others,outcome,400.00
2025-05-26,1,Transactions,outcome,649.15
2025-05-27,1,Public Transport,outcome,125.87
2025-05-27,1,Food and Rest,outcome,819.00
2025-05-28,1,Public Transport,outcome,243.38
2025-05-28,1,Food and Rest,outcome,1309.85
2025-05-28,1,Salary,income,13200.00
2025-05-29,1,Personal,outcome,1195.00
2025-05-29,1,Public Transport,outcome,14.98
2025-05-29,1,Food and Rest,outcome,1887.77
2025-05-29,1,Smoke,outcome,200.00
2025-05-30,1,Others,outcome,20550.00
2025-05-30,1,Public Transport,outcome,2300.00
2025-05-31,1,Food and Rest,outcome,3705.83
2025-05-31,1,Public Transport,outcome,148.00
2025-05-31,1,Others,outcome,2480.00
2025-05-31,1,Transactions,income,1.00
2025-06-01,1,Food and Rest,outcome,479.88
2025-06-01,1,Transactions,outcome,200.47
2025-06-02,1,Transactions,outcome,5044.00
2025-06-02,1,Transactions,income,30500.00
2025-06-02,1,Partner,outcome,3150.00
2025-06-03,1,Others,outcome,547.00
2025-06-03,1,Public Transport,outcome,272.00
2025-06-03,1,Food and Rest,outcome,922.80
2025-06-04,1,Food and Rest,outcome,967.00
2025-06-04,1,Public Transport,outcome,41.00
2025-06-05,1,Food and Rest,outcome,669.94
2025-06-05,1,Smoke,outcome,200.00
2025-06-06,1,Food and Rest,outcome,443.74
2025-06-06,1,Public Transport,outcome,116.00
2025-06-06,1,Transactions,outcome,670.88
2025-06-07,1,Public Transport,outcome,148.00
2025-06-07,1,Food and Rest,outcome,700.00
2025-06-07,1,Food and Rest,outcome,779.97
2025-06-07,1,Others,outcome,1893.96
2025-06-08,1,Food and Rest,outcome,804.99
2025-06-09,1,Food and Rest,outcome,2890.22
2025-06-09,1,Salary,income,141237.28
2025-06-10,1,Public Transport,outcome,305.97
2025-06-10,1,Food and Rest,outcome,1070.90
2025-06-10,1,Others,outcome,1006.00
2025-06-11,1,Food and Rest,outcome,1055.00
2025-06-12,1,Partner,outcome,23800.00
2025-06-12,1,Others,outcome,3000.00
2025-06-12,1,Public Transport,outcome,174.97
2025-06-12,1,Others,outcome,1624.10
2025-06-12,1,Food and Rest,outcome,5233.89
2025-06-13,1,Others,outcome,1024.00
2025-06-13,1,Food and Rest,outcome,3120.00
2025-06-13,1,Others,outcome,99.00
2025-06-13,1,Food and Rest,outcome,1009.98
2025-06-13,1,Partner,outcome,759.60
2025-06-14,1,Food and Rest,outcome,2885.46
2025-06-14,1,Public Transport,outcome,53.97
2025-06-15,1,Food and Rest,outcome,1315.68
2025-06-15,1,Public Transport,outcome,148.00
2025-06-16,1,Rent Fee,outcome,55000.00
2025-06-16,1,Public Transport,outcome,35.47
2025-06-16,1,Food and Rest,outcome,1516.85
2025-06-17,1,Others,outcome,90.00
2025-06-17,1,Public Transport,outcome,508.97
2025-06-17,1,Salary,income,12000.00
